lote,dia,progreso,temperatura,humedad,ph,calidad
0,0,0.0,35.463,60.0,5.7345,deficiente
0,3,0.12,41.866,56.8814,7.1327,deficiente
0,6,0.24,59.134,53.0847,7.9646,aceptable
0,9,0.36,53.119,49.4237,8.177,aceptable
0,12,0.48,38.955,45.2203,8.0177,optimo
0,15,0.6,37.403,41.2881,7.5044,optimo
0,20,0.8,28.478,32.4746,7.4159,optimo
0,25,1.0,26.925,25.9661,7.3451,optimo
1,0,0.0,35.269,57.8305,6.1593,deficiente
1,3,0.12,46.91,54.3051,7.4159,deficiente
1,6,0.24,62.435,50.1017,8.0885,aceptable
1,9,0.36,53.896,44.678,8.3186,aceptable
1,12,0.48,37.015,42.1017,8.3186,optimo
1,15,0.6,30.806,40.2034,7.8584,optimo
1,20,0.8,30.03,33.6949,7.8053,optimo
1,25,1.0,27.119,27.5932,7.646,optimo
2,0,0.0,34.104,57.9661,5.9292,deficiente
2,3,0.12,45.94,53.2203,7.2389,aceptable
2,6,0.24,60.687,48.339,7.9646,aceptable
2,9,0.36,52.149,43.5932,8.2301,aceptable
2,12,0.48,33.91,40.8814,8.2478,optimo
2,15,0.6,32.164,38.7119,7.8761,optimo
2,20,0.8,31.194,30.3051,7.8407,optimo
2,25,1.0,26.149,26.6441,7.6814,optimo
3,0,0.0,32.164,57.4237,5.2389,deficiente
3,3,0.12,42.642,54.8475,6.8319,deficiente
3,6,0.24,62.045,52.1356,7.646,aceptable
3,9,0.36,52.925,47.5254,8.0354,aceptable
3,12,0.48,36.045,45.3559,7.8938,optimo
3,15,0.6,32.164,43.0508,7.6991,optimo
3,20,0.8,28.672,31.5254,7.5221,optimo
3,25,1.0,28.672,25.2881,7.4867,optimo
4,0,0.0,28.207,75.06,4.2814,deficiente
4,3,0.1,40.095,75.06,7.7641,deficiente
4,6,0.2,23.881,77.771,8.1862,deficiente
4,9,0.3,18.262,76.687,8.3421,aceptable
4,12,0.4,19.195,79.217,8.2317,aceptable
4,15,0.5,23.214,79.036,8.1784,aceptable
4,18,0.6,28.548,76.506,8.1633,optimo
4,24,0.8,20.525,77.229,8.5323,optimo
4,30,1.0,18.809,74.337,8.5018,optimo
5,0,0.0,33.326,59.699,5.0608,deficiente
5,3,0.1,49.143,58.434,8.0304,deficiente
5,6,0.2,40.192,53.554,8.9849,deficiente
5,9,0.3,21.001,52.289,8.9505,aceptable
5,12,0.4,22.047,51.205,8.8401,aceptable
5,15,0.5,27.977,48.494,8.977,aceptable
5,18,0.6,29.977,43.253,8.9238,optimo
5,24,0.8,23.024,42.53,9.2546,optimo
5,30,1.0,22.024,38.373,9.3195,optimo
6,0,0.0,32.374,60.422,5.2507,deficiente
6,3,0.1,52.12,57.349,7.4598,deficiente
6,6,0.2,44.953,56.988,8.3764,aceptable
6,9,0.3,33.739,54.458,8.6651,aceptable
6,12,0.4,23.954,52.651,8.441,aceptable
6,15,0.5,35.0,49.217,8.2926,optimo
6,18,0.6,37.0,47.771,8.4105,optimo
6,24,0.8,24.93,46.867,8.7414,optimo
6,30,1.0,20.596,42.349,8.768,optimo
7,0,0.0,35.588,58.976,5.0227,deficiente
7,3,0.1,54.739,56.265,7.555,deficiente
7,6,0.2,50.19,50.12,8.3193,aceptable
7,9,0.3,33.262,43.976,8.3992,aceptable
7,12,0.4,24.666,42.53,8.2126,optimo
7,15,0.5,26.072,39.819,8.0075,optimo
7,18,0.6,34.024,35.301,7.7452,optimo
7,24,0.8,21.119,26.988,7.5816,optimo
7,30,1.0,20.118,21.566,7.5132,optimo
8,0,0.0,31.4,74.62,5.79,deficiente
8,5,0.16666666666666666,66.4,69.52,5.98,aceptable
8,12,0.4,40.9,38.51,6.62,optimo
8,20,0.6666666666666666,32.5,32.68,6.85,optimo
8,25,0.8333333333333334,37.1,35.35,6.65,optimo
8,30,1.0,33.4,20.85,7.09,optimo
9,0,0.0,27.6,75.13,6.05,deficiente
9,5,0.16666666666666666,67.9,59.39,6.43,aceptable
9,12,0.4,59.7,43.55,6.55,aceptable
9,20,0.6666666666666666,60.6,33.13,6.63,optimo
9,25,0.8333333333333334,43.8,25.06,6.73,optimo
9,30,1.0,32.2,20.04,7.39,optimo
10,0,0.0,16.6,70.39,6.28,deficiente
10,5,0.16666666666666666,54.8,67.7,6.23,aceptable
10,12,0.4,31.6,29.1,6.65,aceptable
10,20,0.6666666666666666,67.2,20.48,7.05,optimo
10,25,0.8333333333333334,45.8,22.61,6.99,optimo
10,30,1.0,34.5,15.37,7.01,optimo
11,0,0.0,25.0,75.23,5.88,deficiente
11,5,0.16666666666666666,66.6,62.02,6.59,deficiente
11,12,0.4,66.7,70.59,6.98,optimo
11,20,0.6666666666666666,50.7,32.01,7.34,optimo
11,25,0.8333333333333334,34.0,17.33,7.7,optimo
11,30,1.0,30.3,15.11,7.7,optimo
12,0,0.0,26.6,79.04,5.74,deficiente
12,5,0.16666666666666666,68.8,67.62,6.0,aceptable
12,12,0.4,63.4,29.79,6.9,optimo
12,20,0.6666666666666666,57.6,34.46,7.12,optimo
12,25,0.8333333333333334,59.7,32.01,7.19,optimo
12,30,1.0,34.4,17.33,7.37,optimo
13,0,0.0,18.9,73.28,6.22,deficiente
13,5,0.16666666666666666,56.8,66.51,6.81,aceptable
13,12,0.4,67.2,45.79,5.98,optimo
13,20,0.6666666666666666,63.6,21.72,6.25,optimo
13,25,0.8333333333333334,50.4,29.17,6.14,optimo
13,30,1.0,33.7,19.0,6.47,optimo
14,0,0.0,30.7,71.02,5.89,aceptable
14,5,0.16666666666666666,66.4,64.53,6.11,aceptable
14,12,0.4,53.3,53.82,7.11,optimo
14,20,0.6666666666666666,47.1,29.38,7.61,optimo
14,25,0.8333333333333334,37.5,23.14,7.14,optimo
14,30,1.0,34.2,18.15,7.33,optimo
15,0,0.0,22.4,63.13,5.95,deficiente
15,5,0.16666666666666666,64.8,58.1,6.17,aceptable
15,12,0.4,58.7,59.27,7.17,optimo
15,20,0.6666666666666666,60.1,22.46,7.42,optimo
15,25,0.8333333333333334,35.8,11.01,7.13,optimo
15,30,1.0,28.1,11.89,7.25,optimo
16,0,0.0,28.8,73.14,5.38,deficiente
16,5,0.16666666666666666,62.2,68.86,5.98,aceptable
16,12,0.4,58.6,49.21,6.98,aceptable
16,20,0.6666666666666666,43.7,21.6,7.22,optimo
16,25,0.8333333333333334,37.3,21.39,7.45,optimo
16,30,1.0,33.2,14.95,7.51,optimo
17,0,0.0,22.4,73.3,5.71,deficiente
17,5,0.16666666666666666,68.2,63.59,6.87,aceptable
17,12,0.4,53.3,61.49,7.87,optimo
17,20,0.6666666666666666,50.7,30.4,7.88,optimo
17,25,0.8333333333333334,32.1,20.04,7.72,optimo
17,30,1.0,32.1,24.23,7.24,optimo
18,1,0.045454545454545456,25.505,60.575,7.0598,deficiente
18,4,0.18181818181818182,55.825,58.852,7.3663,deficiente
18,7,0.3181818181818182,57.904,56.935,8.6766,aceptable
18,10,0.45454545454545453,46.805,53.834,8.3292,aceptable
18,13,0.5909090909090909,38.445,43.055,8.1454,aceptable
18,16,0.7272727272727273,28.03,40.94,7.5881,optimo
18,19,0.8636363636363636,23.606,37.839,7.0074,optimo
18,22,1.0,20.379,37.299,6.9402,optimo
19,1,0.045454545454545456,23.451,60.772,7.0365,deficiente
19,4,0.18181818181818182,57.707,60.034,7.6697,deficiente
19,7,0.3181818181818182,58.246,55.753,8.6999,aceptable
19,10,0.45454545454545453,44.237,51.864,8.0957,aceptable
19,13,0.5909090909090909,31.22,45.616,7.7719,optimo
19,16,0.7272727272727273,25.463,41.923,7.4013,optimo
19,19,0.8636363636363636,21.552,36.855,7.1941,optimo
19,22,1.0,20.037,35.331,7.1036,optimo
20,1,0.045454545454545456,23.452,60.181,7.2933,deficiente
20,4,0.18181818181818182,57.878,62.4,7.9733,deficiente
20,7,0.3181818181818182,60.128,59.494,8.7933,aceptable
20,10,0.45454545454545453,47.318,55.41,8.6328,aceptable
20,13,0.5909090909090909,32.112,51.521,7.9587,aceptable
20,16,0.7272727272727273,26.49,43.892,7.5414,optimo
20,19,0.8636363636363636,19.498,39.808,7.3108,optimo
20,22,1.0,18.326,35.92,7.2671,optimo
21,1,0.045454545454545456,24.016,60.625,6.9766,deficiente
21,4,0.18181818181818182,59.161,62.773,8.7344,deficiente
21,7,0.3181818181818182,58.106,61.406,8.8516,aceptable
21,10,0.45454545454545453,45.728,51.836,8.2422,aceptable
21,13,0.5909090909090909,36.951,41.094,7.7734,optimo
21,16,0.7272727272727273,30.406,36.406,7.0469,optimo
21,19,0.8636363636363636,27.292,34.844,6.8359,optimo
21,22,1.0,23.835,34.844,6.9297,optimo
22,1,0.045454545454545456,23.158,62.383,7.2344,deficiente
22,4,0.18181818181818182,41.833,63.359,7.7031,deficiente
22,7,0.3181818181818182,57.249,55.547,8.3359,deficiente
22,10,0.45454545454545453,55.164,49.883,8.6172,deficiente
22,13,0.5909090909090909,42.27,45.781,7.8906,aceptable
22,16,0.7272727272727273,31.95,40.703,7.3984,aceptable
22,19,0.8636363636363636,29.18,37.969,7.3047,aceptable
22,22,1.0,23.493,37.578,7.0938,optimo
23,1,0.045454545454545456,23.844,59.063,7.0938,deficiente
23,4,0.18181818181818182,45.779,61.406,7.7969,deficiente
23,7,0.3181818181818182,56.219,53.789,8.4531,aceptable
23,10,0.45454545454545453,50.188,50.664,8.5938,deficiente
23,13,0.5909090909090909,50.163,44.414,8.1719,aceptable
23,16,0.7272727272727273,34.524,41.094,7.8203,aceptable
23,19,0.8636363636363636,30.038,38.555,7.2109,optimo
23,22,1.0,23.492,33.672,6.9063,optimo
24,1,0.047619047619047616,30.165,67.805,7.686,deficiente
24,3,0.14285714285714285,47.159,70.549,6.0235,deficiente
24,5,0.23809523809523808,52.945,68.262,5.1546,deficiente
24,7,0.3333333333333333,47.027,66.28,6.1686,deficiente
24,9,0.42857142857142855,43.747,64.756,7.1305,aceptable
24,11,0.5238095238095238,37.665,62.774,7.5743,aceptable
24,13,0.6190476190476191,37.681,60.488,7.7454,aceptable
24,15,0.7142857142857143,35.061,58.506,7.8917,aceptable
24,17,0.8095238095238095,34.252,57.591,7.8148,aceptable
24,19,0.9047619047619048,35.093,56.524,8.0851,aceptable
24,21,1.0,34.45,55.762,7.9586,aceptable
25,0,0.0,27.127,64.8892,6.2436,aceptable
25,4,0.125,50.686,58.1953,8.0527,aceptable
25,9,0.28125,33.562,54.08775,8.6699,aceptable
25,15,0.46875,27.348,50.6679,8.4028,aceptable
25,21,0.65625,23.945,49.3773,8.5716,optimo
25,27,0.84375,21.319,48.4825,8.3041,optimo
25,32,1.0,19.158,47.2609,8.2298,optimo
26,0,0.0,27.127,64.037,6.4231,aceptable
26,4,0.125,56.608,55.9498,8.2194,aceptable
26,9,0.28125,36.992,50.17725,8.6891,aceptable
26,15,0.46875,29.843,46.2543,8.3003,optimo
26,21,0.65625,27.375,45.3505,8.469,optimo
26,27,0.84375,23.657,44.3004,8.3041,optimo
26,32,1.0,21.652,42.8459,8.063,optimo
27,0,0.0,27.127,64.1145,6.3076,aceptable
27,4,0.125,46.632,52.7755,8.322,aceptable
27,9,0.28125,31.535,46.6536,8.75965,aceptable
27,15,0.46875,24.386,42.9244,8.5951,optimo
27,21,0.65625,22.228,41.8657,8.3153,optimo
27,27,0.84375,17.578,40.739,8.1118,optimo
27,32,1.0,16.508,39.8272,8.0887,optimo
28,0,0.0,22.765,66.4665,6.5,deficiente
28,4,0.10256410256410256,56.538,54.9136,8.0674,aceptable
28,9,0.23076923076923078,33.795,49.489,8.0794,aceptable
28,15,0.38461538461538464,30.571,46.5205,8.4348,aceptable
28,21,0.5384615384615384,27.489,45.3667,8.2271,optimo
28,27,0.6923076923076923,27.975,44.1423,8.1703,optimo
28,32,0.8205128205128205,28.463,43.3738,8.3605,optimo
28,39,1.0,27.875,42.6051,8.1104,optimo
29,0,0.0,22.765,66.4665,6.3899,deficiente
29,4,0.10256410256410256,57.468,54.8464,7.9298,aceptable
29,9,0.23076923076923078,39.835,48.0885,8.5611,aceptable
29,15,0.38461538461538464,33.978,44.7206,8.4623,optimo
29,21,0.5384615384615384,31.98,43.5001,8.1858,optimo
29,27,0.6923076923076923,30.914,42.3416,8.0464,optimo
29,32,0.8205128205128205,31.713,41.8403,7.9614,optimo
29,39,1.0,30.504,41.1384,7.904,optimo
30,0,0.0,22.765,66.4665,6.3899,deficiente
30,4,0.10256410256410256,44.623,56.0469,7.7922,aceptable
30,9,0.23076923076923078,33.948,50.5556,8.0519,aceptable
30,15,0.38461538461538464,29.797,47.4534,8.2559,optimo
30,21,0.5384615384615384,28.727,46.3669,8.3784,optimo
30,27,0.6923076923076923,27.818,45.3418,8.129,optimo
30,32,0.8205128205128205,28.773,44.7071,8.0165,optimo
30,39,1.0,28.646,44.672,7.9315,optimo
31,0,0.0,15.453,65.8464,6.3541,deficiente
31,4,0.10256410256410256,59.942,53.9921,8.3609,aceptable
31,9,0.23076923076923078,48.173,46.2136,8.5544,optimo
31,15,0.38461538461538464,31.617,42.5078,8.3051,optimo
31,21,0.5384615384615384,27.27,41.1154,8.4979,optimo
31,27,0.6923076923076923,24.767,40.1826,8.3108,optimo
31,32,0.8205128205128205,23.519,39.0922,8.2138,optimo
31,39,1.0,22.255,38.3095,8.1929,optimo
32,0,0.0,15.453,65.0002,6.2907,deficiente
32,4,0.10256410256410256,37.382,59.5307,6.8513,aceptable
32,9,0.23076923076923078,22.992,56.675,7.9708,aceptable
32,15,0.38461538461538464,15.7,54.4306,8.0387,aceptable
32,21,0.5384615384615384,13.054,53.8079,8.2696,aceptable
32,27,0.6923076923076923,12.255,53.1058,8.2982,aceptable
32,32,0.8205128205128205,12.083,52.0152,8.3026,aceptable
32,39,1.0,11.284,51.5406,8.4084,aceptable
33,0,0.0,15.453,65.6926,6.3667,deficiente
33,4,0.10256410256410256,48.972,60.2231,7.6885,aceptable
33,9,0.23076923076923078,33.653,59.7519,7.9834,aceptable
33,15,0.38461538461538464,20.645,58.5848,7.1253,aceptable
33,21,0.5384615384615384,16.919,58.5003,7.1278,aceptable
33,27,0.6923076923076923,14.573,57.8751,6.6237,aceptable
33,32,0.8205128205128205,13.475,57.323,6.755,aceptable
